,kp,damping_ratio,ramp_ratio,output_max,action_file,score,ate,success
268,1155.5555555555557,1.0,0.7,0.02,0,0.18705119824965988,0.015814082287870613,0.0
269,1155.5555555555557,1.0,1.0,0.02,0,0.1830681930924862,0.01546691718508364,0.0
270,1155.5555555555557,1.1666666666666665,0.1,0.02,0,0.2761713210269621,0.024269158451062874,0.0
271,1155.5555555555557,1.1666666666666665,0.2,0.02,0,0.10811375798125633,0.009810775094429383,0.0
272,1155.5555555555557,1.1666666666666665,0.5,0.02,0,0.19816813869534738,0.016449230109803453,0.0
273,1155.5555555555557,1.1666666666666665,0.7,0.02,0,0.18230632619817227,0.015571688332492385,0.0
274,1155.5555555555557,1.1666666666666665,1.0,0.02,0,0.17420753596803912,0.0153035865203844,0.0
275,1155.5555555555557,1.3333333333333333,0.1,0.02,0,0.21816158546061834,0.017012621251892707,0.0
276,1155.5555555555557,1.3333333333333333,0.2,0.02,0,0.16489919613997317,0.013553658470767335,0.0
277,1155.5555555555557,1.3333333333333333,0.5,0.02,0,0.14215263818709267,0.013124167614799412,0.0
278,1155.5555555555557,1.3333333333333333,0.7,0.02,0,0.1489198086192043,0.013762576038738159,0.0
279,1155.5555555555557,1.3333333333333333,1.0,0.02,0,0.19422268335134052,0.01700119057495329,0.0
280,1155.5555555555557,1.5,0.1,0.02,0,0.23091407842798267,0.017591767942724615,0.0
281,1155.5555555555557,1.5,0.2,0.02,0,0.11434708664760093,0.01024968389600243,0.0
282,1155.5555555555557,1.5,0.5,0.02,0,0.13571695637871348,0.012580222001117827,0.0
283,1155.5555555555557,1.5,0.7,0.02,0,0.15565679062006488,0.013870939460521635,0.0
284,1155.5555555555557,1.5,1.0,0.02,0,0.19317925480832465,0.016956700934768316,0.0
